ID;Ultima manutenção;REGIAO;DISTRITO;BAIRRO;TIPO;END;ULTIMAVISTORIA;VAZAO;SITUACAO;LAT;LONG;PROCESSO2014;DATAEXTRACAO;SABESP_POLOMANUT;SABESP_UGR;SABESP_UN
2150;01/08/2022;CENTRO;SÉ;PARQUE DOM PEDRO;COLUNA;PRACA CAVICA ULYSSES GUIMARAES NA CALCADA DO MUSEU CATAVENTO;2022-03-20;SECO;INOPERANTE;-23.5448095011529;-46.6267562845059;1;2022-07-28;SÉ;IPIRANGA;CENTRO
2191;01/08/2022;CENTRO;CONSOLAÇÃO;CONSOLAÇÃO;SUBTERRANEO;RUA MACEIO ESQUINA COM A AV ANGELICA;2022-03-26;SECO;INOPERANTE;-23.5524043706265;-46.6608996336434;0;2022-07-28;LAPA;JARDINS;CENTRO
2258;01/08/2022;SUL;VILA MARIANA;VILA MARIANA;COLUNA;RUA BALTAZAR LISBOA ESQUINA COM A RUA LIMOEIRO DE ANADIA;2021-12-22;EXCELENTE;POSSIVEL DE USO;-23.5860489337251;-46.6346129529349;0;2022-07-28;LAPA;JARDINS;CENTRO
2294;01/08/2022;OESTE;JARDIM PAULISTA;OSCAR FREIRE;SUBTERRANEO;RUA JOSE MARIA LISBOA ESQUINA COM A RUA PEIXOTO GOMIDE;2022-02-24;FRACA;INOPERANTE;-23.5650550853288;-46.6612507879613;0;2022-07-28;LAPA;JARDINS;CENTRO
2342;01/08/2022;SUL;VILA MARIANA;FRANÇA PINTO;SUBTERRANEO;RUA JOAQUIM TAVORA ESQUINA COM A RUA HUMBERTO I;2022-01-31;MÉDIA;POSSIVEL DE USO;-23.5864420873391;-46.6413688536338;0;2022-07-28;LAPA;JARDINS;CENTRO
2353;01/08/2022;SUL;VILA MARIANA;FRANÇA PINTO;COLUNA;RUA RIO GRANDE DEFRONTE A RUA DOUTOR ALVARO ALVIM;2022-01-31;EXCELENTE;POSSIVEL DE USO;-23.5899381165185;-46.6414886859833;0;2022-07-28;LAPA;JARDINS;CENTRO
2436;01/08/2022;SUL;JARDIM ÂNGELA;JARDIM ÂNGELA;SUBTERRANEO;RUA DOUTOR ARTUR MOREIRA DE ALMEIDA 406 PROXIMO A RUA JOSE DE OLIVEIRA;2022-05-11;;NÃO LOCALIZADO;-23.6795263847384;-46.7534657581038;0;2022-07-28;CAMPO LIMPO;GUARAPIRANGA;SUL
2777;01/08/2022;CENTRO;REPÚBLICA;LADEIRA DA MEMÓRIA;COLUNA;RUA NESTOR PESTANA ESQUINA COM A RUA MARTINHO PRADO;2022-03-01;MÉDIA;POSSIVEL DE USO;-23.5493639515021;-46.6462641355448;1;2022-07-28;SÉ;IPIRANGA;CENTRO
2905;01/08/2022;CENTRO;SANTA CECÍLIA;SANTA CECÍLIA;COLUNA;ALAMEDA BARAO DE LIMEIRA ESQUINA COM A RUA GENERAL RONDOM;2021-12-27;EXCELENTE;POSSIVEL DE USO;-23.537174876609;-46.6452096431325;1;2022-07-28;SÉ;IPIRANGA;CENTRO
3337;01/08/2022;LESTE;SÃO MATEUS;CIDADE IV CENTENÁRIO;SUBTERRANEO;RUA EVANYR PRADO  VENTURINI ESQUINA COM A RUA CLOVIS MONTEIRO CARVALHO;2022-04-28;EXCELENTE;POSSIVEL DE USO;-23.5964904810348;-46.4915906965942;0;2022-07-28;SÃO MATEUS;SÃO MATEUS;CENTRO
3611;01/08/2022;SUL;SAÚDE;BOSQUE DA SAÚDE;COLUNA;RUA PADRE MACHADO ESQUINA COM RUA DOMINGOS DE MORAIS;2022-07-18;EXCELENTE;POSSIVEL DE USO;-23.601651951509;-46.6364491666762;1;2022-07-28;LAPA;JARDINS;CENTRO
3818;01/08/2022;LESTE;SÃO MATEUS;CIDADE SATÉLITE;SUBTERRANEO;RUA PHOBUS PROXIMO DA ESQUINA COM A RUA FORTE DE ARAXA;2022-07-21;EXCELENTE;POSSIVEL DE USO;-23.6059589842826;-46.462671112541;0;2022-07-28;SÃO MATEUS;SÃO MATEUS;CENTRO
3858;01/08/2022;LESTE;IGUATEMI;IGUATEMI;COLUNA;RUA ANECY ROCHA ESQUINA COM A RUA ZACHARIAS MOTTA FILHO;2022-04-07;EXCELENTE;POSSIVEL DE USO;-23.6013225183745;-46.438615470557;1;2022-07-28;SÃO MATEUS;SÃO MATEUS;CENTRO
3869;01/08/2022;LESTE;SAPOPEMBA;FAZENDA DA JUTA;COLUNA;RUA CHARLES BEST 194 ENTRE AS RUAS BENJAMIN DE TUDELA E RUA DOMENICO DEL PANE;2022-03-18;EXCELENTE;POSSIVEL DE USO;-23.6133922041838;-46.4857840822001;0;2022-07-28;SÃO MATEUS;SÃO MATEUS;CENTRO
3872;01/08/2022;LESTE;SÃO RAFAEL;PARQUE SÃO RAFAEL;COLUNA;RUA MORRO DAS PEDRAS DEFRONTE A TRAVESSA CRAVO DIVINO;2022-04-16;EXCELENTE;POSSIVEL DE USO;-23.6340640539104;-46.4577128246047;1;2022-07-28;SÃO MATEUS;SÃO MATEUS;CENTRO
3955;01/08/2022;SUL;JABAQUARA;CIDADE VARGAS;SUBTERRANEO;RUA DOMINGOS DE SANTA MARIA 202;2022-05-25;EXCELENTE;POSSIVEL DE USO;-23.6315657317075;-46.6379718781252;0;2022-07-28;SANTO AMARO;SANTO AMARO;SUL
3956;01/08/2022;SUL;CAMPO BELO;CAMPO BELO;SUBTERRANEO;RUA STELA MARINA ESQUINA COM A RUA COMENDADOR EDUARADO SACCAB;2022-07-20;FRACA;INOPERANTE;-23.6109292030396;-46.6754000766136;0;2022-07-28;SANTO AMARO;SANTO AMARO;SUL
3957;01/08/2022;SUL;SAÚDE;MIRANDÓPOLIS;SUBTERRANEO;AVENIDA JABAQUARA ESQUINA COM RUA GUARAU;2022-04-15;EXCELENTE;POSSIVEL DE USO;-23.6103375514366;-46.6381348120585;0;2022-07-28;LAPA;JARDINS;CENTRO
4048;01/08/2022;SUL;CAMPO LIMPO;PIRAJUSSARA;COLUNA;RUA CAIO GRACO DA SILVA PRADO ESQUINA COM A RUA VICENZO DANTE;2022-03-27;SECO;INOPERANTE;-23.6360174251915;-46.7582226263183;0;2022-07-28;PIRAJUSSARA;BUTANTÃ;OESTE
4060;01/08/2022;SUL;SANTO AMARO;SANTO AMARO;SUBTERRANEO;RUA TENENTE CORONEL CARLOS DA SILVA ARAUJO ESQUINA COM AVENIDA JOAO DIAS;2022-07-06;FRACA;INOPERANTE;-23.646345534103;-46.70869915877;0;2022-07-28;SANTO AMARO;SANTO AMARO;SUL
4387;01/08/2022;SUL;SAÚDE;SAÚDE;SUBTERRANEO;RUA MIGUEL STEFANO ESQUINA COM A RUA BIOBEDAS;2022-02-15;FRACA;INOPERANTE;-23.620825415251;-46.6364130846577;0;2022-07-28;LAPA;JARDINS;CENTRO
